 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2204650,202501,1201-1800,GWO.Airport,MS,,3,295,,,VMC,10,,Daylight,CLR,,,Commercial Operator (UAS),UAV: Unpiloted Aerial Vehicle,,2,Part 107,None,Agriculture,,Takeoff / Launch; Landing; Hovering (UAS),,Class D GWO,,,,,,,,,,,,N,,,Small,Hybrid,VLOS,Y,Autonomous / Fully Automated,Airport / Aerodrome / Heliport,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Visual Observer (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 60; Flight Crew Total (UAS) 150; Flight Crew Type (UAS) 10,,Situational Awareness,,,2204650,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Software and Automation; Human Factors; Procedure,Ambiguous,"Working scanning operations for under Part 107; RPIC failed to verify airspace in the vicinity of the operation. After review of the day and flight; it was found we operated in Class D airspace without LAANC or an airspace authorization waiver. We are self-reporting this oversight; which highlighted the need to reinforce airspace awareness during operations. Moving forward this will directly impact our operations by adding redundant airspace verification's into our process.  The vast majority of the sites previously scanned in the area were in uncontrolled airspace; leading to complacency of controlled airspace verification. We had a Visual Observer during the entirety of the operation and verified no aircraft operating in the vicinity of the scan. Corrective Action: Morning of or night before; brief the entire crew for the areas we are operating in is our current process. Once the crew arrives on site; completing a double check of the surrounding area for controlled airspace will be added for redundancy.",,,,"Part 107 UAS pilot reported flying in controlled airspace without authorization.",
2204651,202501,0601-1200,ZZZ.Airport,US,,5,245,,,VMC,10,,Daylight,CLR,,,Commercial Operator (UAS),DJI Phanton 4,,1,Part 107,None,Photo Shoot / Video,,Ground / Preflight (UAS),,Class B ZZZ,,,,,,,,,,,Authorized Third Party,N,,,Small,Multi-Rotor,VLOS,N,Waypoint Flying,Moving Vehicles; People / Populated Areas; Private Property,,Purchased,Number of UAS 1,Remote ID Broadcast Module,Holy Stone,X,Design; Malfunctioning; Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Commercial; Flight Crew Remote Pilot (UAS); Other Advanced Ground Instructor,Flight Crew Last 90 Days (UAS) 0.34; Flight Crew Total (UAS) 16.00; Flight Crew Type (UAS) 16.00,,Human-Machine Interface,,,2204651,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; No Specific Anomaly Occurred Unwanted Situation,,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Aircraft; Environment - Non Weather Related; Weather; Human Factors,Ambiguous,"This morning I arrived on the job site and spoke with my contact. After speaking I began to set up the equipment; verify that my airspace authorization was still valid; perform a site safety assessment; check weather; fill out paperwork and preflight my aircraft. The DJI Phantom 4 that I operate requires an aftermarket remote ID. The make of the remote ID is Holy Stone.  In accordance with my operation and requirements I attached the remote ID module and pressed the power button.  After thoroughly going over all my other items I checked that the area was clear and I launched.  The max flight altitude was 245 feet and it varied for the operation to get videos and stills but never exceeded 245. Max distance from my station at one point was roughly 400 feet. The aircraft was always within visual line of sight.  The aircraft was operating near a road and an active construction site.  Care was taken not to directly overfly people or moving vehicles.  The flight went well; no issues at all. After landing it didn't appear that the remote ID light was on. The battery was fully charged. I cycled the power button on the unit and got a green indication. I'm not sure if the remote ID was not powered on before flight; if it turned off during flight; or if it was on and I just couldn't see the light in the bright sunlight. Weather was clear; very light winds and very bright morning sunlight.  Moving forward I will verify the remote ID is on by covering the unit to ensure I see the status light. I will also try to avoid the direct sunlight when preflighting and remove tinted safety glasses. My recommendation for the remote ID units is to not only have a brighter status light but also a tone when the power button is pressed to indicate the unit has received the command. I could see this being useful with any Remote ID Module. I may suggest this to the manufacturer.","The reporter indicated they were still unsure if the Remote ID module was transmitting or not. There is no way to check after the fact with this module. This is not a known issue and the reporter did not find any other data with similar incidents.",,,"Part 107 UAS pilot reported an uneventful flight but was not sure if the Remote ID Broadcast Module was turned on.",
2204652,202501,0601-1200,ZZZ.Airport,US,,.5,100,,,,10,,Daylight,CLR,,,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),,3,Part 107,,Utility / Infrastructure,,Cruise,,Class D ZZZ,,,,,,,,,,,FAA Authorization,Y,Other 107.41,Standard,Small,Multi-Rotor,VLOS,Y,Autonomous / Fully Automated,Aircraft / UAS; Airport / Aerodrome / Heliport,,,Number of UAS 1,Ground Control Station (UAS),,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Instrument; Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 15; Flight Crew Total 330; Flight Crew Total (UAS) 355; Flight Crew Type (UAS) 10.8,,Human-Machine Interface,,,2204652,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Flight Crew,In-flight,Flight Crew Landed As Precaution,Aircraft; Human Factors; Manuals; Software and Automation,Ambiguous,"At the completion an autonomous inspection of an aircraft the UAS climbed from ~30ft AGL to ~80ft AGL automatically. The FAA airspace authorization was for a maximum altitude of 50ft AGL. The RPIC noticed the climb and immediately took manual control of the aircraft and returned the aircraft to the ground. The UAS was above 50ft for less than five seconds.After the UAS was returned to the ground the PIC investigated how the breach occurred and discovered that the ground control software had two separate maximum altitude limits. One for autonomous flight; and one for manual flight. The manual flight limit was set correctly at 49ft; while the autonomous flight limit was left at 400ft AGL. During a review of procedures and settings; it was noted that this difference is not highlighted in any of the quick reference manuals that come with the UAS. Instead; it is buried in the manual for the ground control software. Internal procedures and trainings have been adjusted to note this difference with the intention to avoid any incursions with this specific aircraft.","Reporter stated the inspection is performed outdoors by Part 107 Operators. The inspection process consists of the pilot manually flying the drone to capture the sides of the aircraft and an automated pattern for the top down view.",,,"Part 107 UAS pilot reported during an autonomous mission; momentarily climbing above the authorized altitude restriction due to improper settings in the UAS software. The pilot took manual control of the UAS and landed it upon noticing the error.",
2204653,202501,0601-1200,ZZZ.Airport,US,,10,,,,VMC,12,,Daylight,CLR,,,Recreational / Hobbyist (UAS),DJI Avata,,2,Recreational Operations / Section 44809 (UAS),None,Recreational / Hobbyist (UAS),,Cruise,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,Y,Manual Control,Open Space / Field; Other BLM Wildlife Zone,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Recreational / Hobbyist (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),,Flight Crew Last 90 Days (UAS) 0.5; Flight Crew Total (UAS) 20; Flight Crew Type (UAS) 2.25,,Situational Awareness,,,2204653,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy,,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Chart Or Publication; Human Factors,Ambiguous,"On Day 0; I the pilot in command; was operating a FPV (First Person View) small UAS in the vicinity of a BLM (Bureau of Land Management) Wildlife Zone at approximately XA00 PM. It was daytime with clear skies. I did not [have] reliable cell service and I did not properly check the airspace requirements during my preflight procedures and subsequently launched. I preformed a flight of less than ten minutes. Once in a cell serviceable area I reviewed the airspace requirements and realized I was not authorized to fly.",,,,"Recreational / Hobbyist UAS pilot reported flying in a restricted area without authorization.",
2205778,202501,1201-1800,RSW.Airport,FL,,,,,,,,,,,,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class C RSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class C RSW,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,2205778,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 0; Vertical 100,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While on short final to Runway 24 RSW on a visual approach backed up by the  RNAV; an object was seen passing underneath the right wing approximately 100 feet below the aircraft. I was the PF and in the CA seat so I could only see the object for a brief amount of time; but it was black/silver and appeared to be a large quad copter moving in the opposite direction of the aircraft it did appear that the object initially moved from the left front to the right front of the aircraft; then passed underneath the right wing crossing the final approach course of runway 24 then made an almost 90 degree turn to pass out the right side of the aircraft. No evasive action was required and a normal landing was made. The PM in the FO seat had a much better and longer view of the object. There were several aircraft behind us stacked for landing sequencing. Cause: Possible unauthorized UAV operations.",,,,"Air carrier Captain reported an NMAC with a UAS while on final approach. No evasive action was taken and the flight continued without further incident.",
2206407,202501,1201-1800,ZZZ.Airport,US,,8,125,,,VMC,10,,Daylight,CLR,,,Commercial Operator (UAS),DJI Mini 2,,1,Part 107,None,Photo Shoot / Video,,Landing,,,,,,,,,,,,,,N,,,Micro,Multi-Rotor,VLOS,N,Manual Control,Open Space / Field; Private Property,,Purchased,Number of UAS 1,Remote ID Broadcast Module,Dronetag,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Private; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 3.5; Flight Crew Total (UAS) 38.3; Flight Crew Type (UAS) 37.8,,Troubleshooting,,,2206407,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,,Other Post-flight,General None Reported / Taken,Software and Automation; Weather; Aircraft; Procedure,Ambiguous,"While performing flight; my DroneTag Beacon cease to operate. It was fully charge with all of my equipment before I departed for the flight. Preflight checks were good. Beacon confirmed to have GPS lock prior to launch. Upon return; all indications were black. Device would not activate or even indicate charge level when button was push. I do not know how much of the flight was without RID (Remote ID). Upon return to home; I searched the web for answers. Suggestion was to press and hold button for 15 seconds. At 10 seconds; device activated. Device had full charge still. Used DroneTag toolbox app to troubleshoot; but no indication of an issue. Device was able to obtain full GPS lock with location verified through app. Only deviation noted was that there was a firmware update available. I performed the update; but the device was functioning properly without the update. I have no idea why it failed in flight. It was very cold; about 33 degrees at the time of flight. That is the only possible cause that I can imagine; other than software glitch.",,,,"Part 107 UAS pilot reported learning the Remote ID Broadcast Module stopped operating for an unknown amount of time during the flight.",
2207067,202411,0601-1200,,,,,,177,,VMC,10,,,CLR,,,Recreational / Hobbyist (UAS),DJI Avata,,1,Recreational Operations / Section 44809 (UAS),None,Photo Shoot / Video,,Takeoff / Launch; Cruise; Final Approach,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,,,,Moving Vehicles,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Recreational / Hobbyist (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 3; Flight Crew Total (UAS) 25; Flight Crew Type (UAS) 25,,Situational Awareness; Training / Qualification,,,2207067,,,,,,,,,,,,No Specific Anomaly Occurred Unwanted Situation,,,,Other post-flight,General None Reported / Taken,Human Factors,Human Factors,"Late last year; my friend and I made a video flying a drone around our local city. In the video; I flew from the passenger seat of a car while my friend drove.We both have our part 107 license; and made sure we were careful to not cause any issues while flying. After showing the video to others; we had some concern about possibly breaking FAA laws. We do not think we did; but to be safe I wanted to make sure I self reported before posting the video. We had no malicious intent with any part of the video; we caused no issues to ourselves or anything around us; and we conducted the flight without any issues whatsoever.","The reporter was unsure if the flight they completed broke any FARs. They reiterated they flew in a non-populated area away from vehicle and persons.",,,"Recreational / Hobbyist UAS pilot reported flying the UAS from a moving vehicle.",
2207738,202501,0001-0600,ZZZ.Airport,US,,8,394,,,VMC,10,,Night,CLR,,,Government,Skydio X10,,2,Public Aircraft Operations (UAS),None,Observation / Surveillance (UAS),,Hovering (UAS),,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,Y,Manual Control,Open Space / Field,,Purchased,Number of UAS 1,Battery Management System (UAS),Skydio,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Government,Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 14; Flight Crew Total 0; Flight Crew Total (UAS) 150; Flight Crew Type (UAS) 20,,Troubleshooting,,,2207738,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person UAS Crew,In-flight,Aircraft Aircraft Damaged; Aircraft Lost Link (UAS),Aircraft; Software and Automation,Ambiguous,"On Day 0 at approximately XA00 hours local time Pilot [person manipulating the controls] was providing an overwatch stream for a unit.While on station at approximately 394' AGL Pilot experience a signal loss warning on his Ground Control Station (GCS). At the time the system was approximately 1500' from the GCS and connected via the native SL connect for both control and video. When he looked up the UAS was no longer observable. After the scene was secured he proceeded to the last reported GPS position and located the UAS in an open field. No injury or damage was reported beyond the airframe itself. During the debrief forward VOs state that they saw the anti-collision strobes stop and solid blue lights (Standby Indicator Lights) come on the aircraft as it descended.  A review of the logs by the manufacturer revealed that there was a battery control board software issue that he initiated a restart mid-flight cutting power to the motors and causing the failure. System replaced by manufacturer. ***Related to [previous] incident with systems*** (Same defect.)At the time of the incident this airframe had several dozen flights totaling XX.XX air hours. All proper pre-flight procedures had been conducted. After interview and debrief there were no adjustments to CRM or policy that could mitigate future risks.",,,,"Government UAS Pilot reported the UAS battery system attempted a reboot mid-flight causing a power loss to the motors; resulting in the UAS crashing.",
