acn,time__date,time__local_time_of_day,place__locale_reference,place__state_reference,place__relative_position_angle_radial,place__relative_position_distance_nautical_miles,place__altitude_agl_single_value,place__altitude_msl_single_value,place__latitude_longitude_uas,environment__flight_conditions,environment__weather_elements_visibility,environment__work_environment_factor,environment__light,environment__ceiling,environment__rvr_single_value,ac1__atc_advisory,ac1__aircraft_operator,ac1__make_model_name,ac1__aircraft_zone,ac1__crew_size,ac1__operating_under_far_part,ac1__flight_plan,ac1__mission,ac1__nav_in_use,ac1__flight_phase,ac1__route_in_use,ac1__airspace,ac1__maintenance_status_maintenance_deferred,ac1__maintenance_status_records_complete,ac1__maintenance_status_released_for_service,ac1__maintenance_status_required_correct_doc_on_board,ac1__maintenance_status_maintenance_type,ac1__maintenance_status_maintenance_items_involved,ac1__cabin_lighting,ac1__number_of_seats_number,ac1__passengers_on_board_number,ac1__crew_size_flight_attendant_number_of_crew,ac1__airspace_authorization_provider_uas,ac1__operating_under_waivers_exemptions_authorizations_uas,ac1__waivers_exemptions_authorizations_uas,ac1__airworthiness_certification_uas,ac1__weight_category_uas,ac1__configuration_uas,ac1__flight_operated_as_uas,ac1__flight_operated_with_visual_observer_uas,ac1__control_mode_uas,ac1__flying_in_near_over_uas,ac1__passenger_capable_uas,ac1__type_uas,ac1__number_of_uas_being_controlled_uas,component__aircraft_component,component__manufacturer,component__aircraft_reference,component__problem,ac2__atc_advisory,ac2__aircraft_operator,ac2__make_model_name,ac2__aircraft_zone,ac2__crew_size,ac2__operating_under_far_part,ac2__flight_plan,ac2__mission,ac2__nav_in_use,ac2__flight_phase,ac2__route_in_use,ac2__airspace,ac2__maintenance_status_maintenance_deferred,ac2__maintenance_status_records_complete,ac2__maintenance_status_released_for_service,ac2__maintenance_status_required_correct_doc_on_board,ac2__maintenance_status_maintenance_type,ac2__maintenance_status_maintenance_items_involved,ac2__cabin_lighting,ac2__number_of_seats_number,ac2__passengers_on_board_number,ac2__crew_size_flight_attendant_number_of_crew,ac2__airspace_authorization_provider_uas,ac2__operating_under_waivers_exemptions_authorizations_uas,ac2__waivers_exemptions_authorizations_uas,ac2__airworthiness_certification_uas,ac2__weight_category_uas,ac2__configuration_uas,ac2__flight_operated_as_uas,ac2__flight_operated_with_visual_observer_uas,ac2__control_mode_uas,ac2__flying_in_near_over_uas,ac2__passenger_capable_uas,ac2__type_uas,ac2__number_of_uas_being_controlled_uas,person1__location_of_person,person1__location_in_aircraft,person1__reporter_organization,person1__function,person1__qualification,person1__experience,person1__cabin_activity,person1__human_factors,person1__communication_breakdown,person1__uas_communication_breakdown,person1__asrs_report_number_accession_number,person2__location_of_person,person2__location_in_aircraft,person2__reporter_organization,person2__function,person2__qualification,person2__experience,person2__cabin_activity,person2__human_factors,person2__communication_breakdown,person2__uas_communication_breakdown,person2__asrs_report_number_accession_number,events__anomaly,events__miss_distance,events__were_passengers_involved_in_event,events__detector,events__when_detected,events__result,assessments__contributing_factors_situations,assessments__primary_problem,report1__narrative,report1__callback,report2__narrative,report2__callback,report1__synopsis
2204650,2025-01-01,1201-1800,GWO.Airport,MS,NA,3,295,NA,NA,VMC,10,NA,Daylight,CLR,NA,NA,Commercial Operator (UAS),UAV: Unpiloted Aerial Vehicle,NA,2,Part 107,None,Agriculture,NA,Takeoff / Launch; Landing; Hovering (UAS),NA,Class D GWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Hybrid,VLOS,TRUE,Autonomous / Fully Automated,Airport / Aerodrome / Heliport,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Visual Observer (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 60; Flight Crew Total (UAS) 150; Flight Crew Type (UAS) 10,NA,Situational Awareness,NA,NA,2204650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),NA,NA,Person UAS Crew,Other Post-flight,General None Reported / Taken,Software and Automation; Human Factors; Procedure,Ambiguous,Working scanning operations for under Part 107; RPIC failed to verify airspace in the vicinity of the operation. After review of the day and flight; it was found we operated in Class D airspace without LAANC or an airspace authorization waiver. We are self-reporting this oversight; which highlighted the need to reinforce airspace awareness during operations. Moving forward this will directly impact our operations by adding redundant airspace verification's into our process.  The vast majority of the sites previously scanned in the area were in uncontrolled airspace; leading to complacency of controlled airspace verification. We had a Visual Observer during the entirety of the operation and verified no aircraft operating in the vicinity of the scan. Corrective Action: Morning of or night before; brief the entire crew for the areas we are operating in is our current process. Once the crew arrives on site; completing a double check of the surrounding area for controlled airspace will be added for redundancy.,NA,NA,NA,Part 107 UAS pilot reported flying in controlled airspace without authorization.
2204651,2025-01-01,0601-1200,ZZZ.Airport,US,NA,5,245,NA,NA,VMC,10,NA,Daylight,CLR,NA,NA,Commercial Operator (UAS),DJI Phanton 4,NA,1,Part 107,None,Photo Shoot / Video,NA,Ground / Preflight (UAS),NA,Class B ZZZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authorized Third Party,FALSE,NA,NA,Small,Multi-Rotor,VLOS,FALSE,Waypoint Flying,Moving Vehicles; People / Populated Areas; Private Property,NA,Purchased,Number of UAS 1,Remote ID Broadcast Module,Holy Stone,X,Design; Malfunctioning; Improperly Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Commercial; Flight Crew Remote Pilot (UAS); Other Advanced Ground Instructor,Flight Crew Last 90 Days (UAS) 0.34; Flight Crew Total (UAS) 16.00; Flight Crew Type (UAS) 16.00,NA,Human-Machine Interface,NA,NA,2204651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; No Specific Anomaly Occurred Unwanted Situation,NA,NA,Person UAS Crew,Other Post-flight,General None Reported / Taken,Aircraft; Environment - Non Weather Related; Weather; Human Factors,Ambiguous,This morning I arrived on the job site and spoke with my contact. After speaking I began to set up the equipment; verify that my airspace authorization was still valid; perform a site safety assessment; check weather; fill out paperwork and preflight my aircraft. The DJI Phantom 4 that I operate requires an aftermarket remote ID. The make of the remote ID is Holy Stone.  In accordance with my operation and requirements I attached the remote ID module and pressed the power button.  After thoroughly going over all my other items I checked that the area was clear and I launched.  The max flight altitude was 245 feet and it varied for the operation to get videos and stills but never exceeded 245. Max distance from my station at one point was roughly 400 feet. The aircraft was always within visual line of sight.  The aircraft was operating near a road and an active construction site.  Care was taken not to directly overfly people or moving vehicles.  The flight went well; no issues at all. After landing it didn't appear that the remote ID light was on. The battery was fully charged. I cycled the power button on the unit and got a green indication. I'm not sure if the remote ID was not powered on before flight; if it turned off during flight; or if it was on and I just couldn't see the light in the bright sunlight. Weather was clear; very light winds and very bright morning sunlight.  Moving forward I will verify the remote ID is on by covering the unit to ensure I see the status light. I will also try to avoid the direct sunlight when preflighting and remove tinted safety glasses. My recommendation for the remote ID units is to not only have a brighter status light but also a tone when the power button is pressed to indicate the unit has received the command. I could see this being useful with any Remote ID Module. I may suggest this to the manufacturer.,The reporter indicated they were still unsure if the Remote ID module was transmitting or not. There is no way to check after the fact with this module. This is not a known issue and the reporter did not find any other data with similar incidents.,NA,NA,Part 107 UAS pilot reported an uneventful flight but was not sure if the Remote ID Broadcast Module was turned on.
2204652,2025-01-01,0601-1200,ZZZ.Airport,US,NA,0.5,100,NA,NA,NA,10,NA,Daylight,CLR,NA,NA,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),NA,3,Part 107,NA,Utility / Infrastructure,NA,Cruise,NA,Class D ZZZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Authorization,TRUE,Other 107.41,Standard,Small,Multi-Rotor,VLOS,TRUE,Autonomous / Fully Automated,Aircraft / UAS; Airport / Aerodrome / Heliport,NA,NA,Number of UAS 1,Ground Control Station (UAS),NA,X,Improperly Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Instrument; Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 15; Flight Crew Total 330; Flight Crew Total (UAS) 355; Flight Crew Type (UAS) 10.8,NA,Human-Machine Interface,NA,NA,2204652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),NA,NA,Person Flight Crew,In-flight,Flight Crew Landed As Precaution,Aircraft; Human Factors; Manuals; Software and Automation,Ambiguous,At the completion an autonomous inspection of an aircraft the UAS climbed from ~30ft AGL to ~80ft AGL automatically. The FAA airspace authorization was for a maximum altitude of 50ft AGL. The RPIC noticed the climb and immediately took manual control of the aircraft and returned the aircraft to the ground. The UAS was above 50ft for less than five seconds.After the UAS was returned to the ground the PIC investigated how the breach occurred and discovered that the ground control software had two separate maximum altitude limits. One for autonomous flight; and one for manual flight. The manual flight limit was set correctly at 49ft; while the autonomous flight limit was left at 400ft AGL. During a review of procedures and settings; it was noted that this difference is not highlighted in any of the quick reference manuals that come with the UAS. Instead; it is buried in the manual for the ground control software. Internal procedures and trainings have been adjusted to note this difference with the intention to avoid any incursions with this specific aircraft.,Reporter stated the inspection is performed outdoors by Part 107 Operators. The inspection process consists of the pilot manually flying the drone to capture the sides of the aircraft and an automated pattern for the top down view.,NA,NA,Part 107 UAS pilot reported during an autonomous mission; momentarily climbing above the authorized altitude restriction due to improper settings in the UAS software. The pilot took manual control of the UAS and landed it upon noticing the error.
2204653,2025-01-01,0601-1200,ZZZ.Airport,US,NA,10,NA,NA,NA,VMC,12,NA,Daylight,CLR,NA,NA,Recreational / Hobbyist (UAS),DJI Avata,NA,2,Recreational Operations / Section 44809 (UAS),None,Recreational / Hobbyist (UAS),NA,Cruise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Multi-Rotor,VLOS,TRUE,Manual Control,Open Space / Field; Other BLM Wildlife Zone,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Recreational / Hobbyist (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),NA,Flight Crew Last 90 Days (UAS) 0.5; Flight Crew Total (UAS) 20; Flight Crew Type (UAS) 2.25,NA,Situational Awareness,NA,NA,2204653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy,NA,NA,Person UAS Crew,Other Post-flight,General None Reported / Taken,Chart Or Publication; Human Factors,Ambiguous,On Day 0; I the pilot in command; was operating a FPV (First Person View) small UAS in the vicinity of a BLM (Bureau of Land Management) Wildlife Zone at approximately XA00 PM. It was daytime with clear skies. I did not [have] reliable cell service and I did not properly check the airspace requirements during my preflight procedures and subsequently launched. I preformed a flight of less than ten minutes. Once in a cell serviceable area I reviewed the airspace requirements and realized I was not authorized to fly.,NA,NA,NA,Recreational / Hobbyist UAS pilot reported flying in a restricted area without authorization.
2205778,2025-01-01,1201-1800,RSW.Airport,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,NA,2,Part 121,IFR,Passenger,NA,Final Approach,NA,Class C RSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,Class C RSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airport / Aerodrome / Heliport; Aircraft / UAS,NA,NA,NA,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),NA,NA,NA,NA,NA,2205778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 0; Vertical 100,NA,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,While on short final to Runway 24 RSW on a visual approach backed up by the  RNAV; an object was seen passing underneath the right wing approximately 100 feet below the aircraft. I was the PF and in the CA seat so I could only see the object for a brief amount of time; but it was black/silver and appeared to be a large quad copter moving in the opposite direction of the aircraft it did appear that the object initially moved from the left front to the right front of the aircraft; then passed underneath the right wing crossing the final approach course of runway 24 then made an almost 90 degree turn to pass out the right side of the aircraft. No evasive action was required and a normal landing was made. The PM in the FO seat had a much better and longer view of the object. There were several aircraft behind us stacked for landing sequencing. Cause: Possible unauthorized UAV operations.,NA,NA,NA,Air carrier Captain reported an NMAC with a UAS while on final approach. No evasive action was taken and the flight continued without further incident.
2206407,2025-01-01,1201-1800,ZZZ.Airport,US,NA,8,125,NA,NA,VMC,10,NA,Daylight,CLR,NA,NA,Commercial Operator (UAS),DJI Mini 2,NA,1,Part 107,None,Photo Shoot / Video,NA,Landing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Micro,Multi-Rotor,VLOS,FALSE,Manual Control,Open Space / Field; Private Property,NA,Purchased,Number of UAS 1,Remote ID Broadcast Module,Dronetag,X,Malfunctioning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Private; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 3.5; Flight Crew Total (UAS) 38.3; Flight Crew Type (UAS) 37.8,NA,Troubleshooting,NA,NA,2206407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,NA,NA,NA,Other Post-flight,General None Reported / Taken,Software and Automation; Weather; Aircraft; Procedure,Ambiguous,While performing flight; my DroneTag Beacon cease to operate. It was fully charge with all of my equipment before I departed for the flight. Preflight checks were good. Beacon confirmed to have GPS lock prior to launch. Upon return; all indications were black. Device would not activate or even indicate charge level when button was push. I do not know how much of the flight was without RID (Remote ID). Upon return to home; I searched the web for answers. Suggestion was to press and hold button for 15 seconds. At 10 seconds; device activated. Device had full charge still. Used DroneTag toolbox app to troubleshoot; but no indication of an issue. Device was able to obtain full GPS lock with location verified through app. Only deviation noted was that there was a firmware update available. I performed the update; but the device was functioning properly without the update. I have no idea why it failed in flight. It was very cold; about 33 degrees at the time of flight. That is the only possible cause that I can imagine; other than software glitch.,NA,NA,NA,Part 107 UAS pilot reported learning the Remote ID Broadcast Module stopped operating for an unknown amount of time during the flight.
2207067,2024-11-01,0601-1200,NA,NA,NA,NA,NA,177,NA,VMC,10,NA,NA,CLR,NA,NA,Recreational / Hobbyist (UAS),DJI Avata,NA,1,Recreational Operations / Section 44809 (UAS),None,Photo Shoot / Video,NA,Takeoff / Launch; Cruise; Final Approach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Multi-Rotor,NA,NA,NA,Moving Vehicles,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Recreational / Hobbyist (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 3; Flight Crew Total (UAS) 25; Flight Crew Type (UAS) 25,NA,Situational Awareness; Training / Qualification,NA,NA,2207067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Specific Anomaly Occurred Unwanted Situation,NA,NA,NA,Other post-flight,General None Reported / Taken,Human Factors,Human Factors,Late last year; my friend and I made a video flying a drone around our local city. In the video; I flew from the passenger seat of a car while my friend drove.We both have our part 107 license; and made sure we were careful to not cause any issues while flying. After showing the video to others; we had some concern about possibly breaking FAA laws. We do not think we did; but to be safe I wanted to make sure I self reported before posting the video. We had no malicious intent with any part of the video; we caused no issues to ourselves or anything around us; and we conducted the flight without any issues whatsoever.,The reporter was unsure if the flight they completed broke any FARs. They reiterated they flew in a non-populated area away from vehicle and persons.,NA,NA,Recreational / Hobbyist UAS pilot reported flying the UAS from a moving vehicle.
2207738,2025-01-01,0001-0600,ZZZ.Airport,US,NA,8,394,NA,NA,VMC,10,NA,Night,CLR,NA,NA,Government,Skydio X10,NA,2,Public Aircraft Operations (UAS),None,Observation / Surveillance (UAS),NA,Hovering (UAS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Multi-Rotor,VLOS,TRUE,Manual Control,Open Space / Field,NA,Purchased,Number of UAS 1,Battery Management System (UAS),Skydio,X,Malfunctioning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Government,Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 14; Flight Crew Total 0; Flight Crew Total (UAS) 150; Flight Crew Type (UAS) 20,NA,Troubleshooting,NA,NA,2207738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft Equipment Problem Critical,NA,NA,Person UAS Crew,In-flight,Aircraft Aircraft Damaged; Aircraft Lost Link (UAS),Aircraft; Software and Automation,Ambiguous,On Day 0 at approximately XA00 hours local time Pilot [person manipulating the controls] was providing an overwatch stream for a unit.While on station at approximately 394' AGL Pilot experience a signal loss warning on his Ground Control Station (GCS). At the time the system was approximately 1500' from the GCS and connected via the native SL connect for both control and video. When he looked up the UAS was no longer observable. After the scene was secured he proceeded to the last reported GPS position and located the UAS in an open field. No injury or damage was reported beyond the airframe itself. During the debrief forward VOs state that they saw the anti-collision strobes stop and solid blue lights (Standby Indicator Lights) come on the aircraft as it descended.  A review of the logs by the manufacturer revealed that there was a battery control board software issue that he initiated a restart mid-flight cutting power to the motors and causing the failure. System replaced by manufacturer. ***Related to [previous] incident with systems*** (Same defect.)At the time of the incident this airframe had several dozen flights totaling XX.XX air hours. All proper pre-flight procedures had been conducted. After interview and debrief there were no adjustments to CRM or policy that could mitigate future risks.,NA,NA,NA,Government UAS Pilot reported the UAS battery system attempted a reboot mid-flight causing a power loss to the motors; resulting in the UAS crashing.
2208291,2025-02-01,1801-2400,CLT.Airport,NC,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,NA,2,Part 121,NA,Passenger,NA,Descent,STAR STOCR4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft / UAS,NA,NA,NA,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,NA,NA,NA,NA,NA,2208291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,NA,NA,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,While descending on the STOCR4 into CLT; near the FIBBR intersection at approximately 13;xxx feet; I noticed a target appear on the MFD. These targets are typically false targets or aircraft that are on the ground at airports. I looked out the left window and immediately saw a black drone pass the left side of the aircraft approximately 2;000 feet below us. I would estimate the distance at a mile or less. I phoned dispatch after landing.,NA,NA,NA,Air carrier Captain reported experiencing an airborne conflict with a UAS during descent.
2208541,2025-02-01,0601-1200,TJIG.Airport,FO,NA,6,NA,1000,NA,VMC,NA,NA,Daylight,NA,NA,Tower TJIG,Personal,Small Aircraft; High Wing; 1 Eng; Retractable Gear,NA,2,Part 91,VFR,Training,NA,Final Approach,Direct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft / UAS; Airport / Aerodrome / Heliport,NA,NA,NA,Aircraft X,Flight Deck,Personal,Pilot Not Flying; Instructor,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,NA,NA,NA,NA,NA,2208541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 200; Vertical 0,NA,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,On approach to land at TJIG we were instructed by ATC to make a straight in approach for runway 9 at 1;000MSL while approaching Levittown Water tank approx. 6 miles final form TJIG approx. at XA56am local time while flying over an RC airplane runway; my student and I saw in front of us what appeared to be a RC airplane in a vertical climb at our same altitude and climbing passing in front of us and then making a steep turn toward us. We had to deviate to the left (north) to avoid the object. We resumed normal flight to land.,NA,NA,NA,Flight Instructor reported an NMAC with a UAS during final approach. Flight Instructor took evasive action to avoid a possible collision.
