variable,n_present,n_missing,pct_present,pct_missing
place__latitude_longitude_uas,0,50,0,100
ac1__aircraft_zone,0,50,0,100
ac1__maintenance_status_maintenance_deferred,0,50,0,100
ac1__maintenance_status_records_complete,0,50,0,100
ac1__maintenance_status_released_for_service,0,50,0,100
ac1__maintenance_status_required_correct_doc_on_board,0,50,0,100
ac1__maintenance_status_maintenance_type,0,50,0,100
ac1__maintenance_status_maintenance_items_involved,0,50,0,100
ac1__cabin_lighting,0,50,0,100
ac1__number_of_seats_number,0,50,0,100
ac1__passengers_on_board_number,0,50,0,100
ac1__crew_size_flight_attendant_number_of_crew,0,50,0,100
ac1__passenger_capable_uas,0,50,0,100
ac2__atc_advisory,0,50,0,100
ac2__aircraft_zone,0,50,0,100
ac2__operating_under_far_part,0,50,0,100
ac2__nav_in_use,0,50,0,100
ac2__route_in_use,0,50,0,100
ac2__maintenance_status_maintenance_deferred,0,50,0,100
ac2__maintenance_status_records_complete,0,50,0,100
ac2__maintenance_status_released_for_service,0,50,0,100
ac2__maintenance_status_required_correct_doc_on_board,0,50,0,100
ac2__maintenance_status_maintenance_type,0,50,0,100
ac2__maintenance_status_maintenance_items_involved,0,50,0,100
ac2__cabin_lighting,0,50,0,100
ac2__number_of_seats_number,0,50,0,100
ac2__passengers_on_board_number,0,50,0,100
ac2__crew_size_flight_attendant_number_of_crew,0,50,0,100
ac2__airspace_authorization_provider_uas,0,50,0,100
ac2__operating_under_waivers_exemptions_authorizations_uas,0,50,0,100
ac2__waivers_exemptions_authorizations_uas,0,50,0,100
ac2__airworthiness_certification_uas,0,50,0,100
ac2__weight_category_uas,0,50,0,100
ac2__flight_operated_as_uas,0,50,0,100
ac2__flight_operated_with_visual_observer_uas,0,50,0,100
ac2__control_mode_uas,0,50,0,100
ac2__passenger_capable_uas,0,50,0,100
ac2__type_uas,0,50,0,100
ac2__number_of_uas_being_controlled_uas,0,50,0,100
person1__cabin_activity,0,50,0,100
person1__communication_breakdown,0,50,0,100
person2__cabin_activity,0,50,0,100
person2__human_factors,0,50,0,100
person2__communication_breakdown,0,50,0,100
person2__uas_communication_breakdown,0,50,0,100
events__were_passengers_involved_in_event,0,50,0,100
report2__callback,0,50,0,100
environment__work_environment_factor,1,49,2,98
environment__rvr_single_value,1,49,2,98
ac2__aircraft_operator,1,49,2,98
ac2__mission,1,49,2,98
ac2__configuration_uas,1,49,2,98
person1__uas_communication_breakdown,1,49,2,98
ac1__airworthiness_certification_uas,2,48,4,96
ac2__flight_plan,2,48,4,96
place__relative_position_angle_radial,3,47,6,94
ac1__nav_in_use,3,47,6,94
ac1__waivers_exemptions_authorizations_uas,3,47,6,94
ac1__airspace_authorization_provider_uas,4,46,8,92
ac2__flight_phase,4,46,8,92
person2__location_in_aircraft,4,46,8,92
person2__experience,4,46,8,92
component__manufacturer,5,45,10,90
person2__location_of_person,5,45,10,90
person2__reporter_organization,5,45,10,90
person2__function,5,45,10,90
person2__qualification,5,45,10,90
person2__asrs_report_number_accession_number,5,45,10,90
report2__narrative,5,45,10,90
component__aircraft_component,6,44,12,88
component__aircraft_reference,6,44,12,88
component__problem,6,44,12,88
report1__callback,6,44,12,88
ac1__atc_advisory,12,38,24,76
ac1__route_in_use,12,38,24,76
ac1__type_uas,16,34,32,68
ac1__flight_operated_with_visual_observer_uas,17,33,34,66
ac1__flight_operated_as_uas,18,32,36,64
ac1__control_mode_uas,18,32,36,64
ac1__flying_in_near_over_uas,19,31,38,62
events__miss_distance,19,31,38,62
ac1__operating_under_waivers_exemptions_authorizations_uas,20,30,40,60
ac1__weight_category_uas,20,30,40,60
ac1__configuration_uas,20,30,40,60
ac1__number_of_uas_being_controlled_uas,20,30,40,60
place__altitude_agl_single_value,21,29,42,58
ac2__airspace,21,29,42,58
person1__location_in_aircraft,22,28,44,56
place__altitude_msl_single_value,23,27,46,54
person1__human_factors,23,27,46,54
environment__ceiling,24,26,48,52
place__relative_position_distance_nautical_miles,25,25,50,50
environment__weather_elements_visibility,26,24,52,48
environment__light,26,24,52,48
ac2__crew_size,28,22,56,44
ac2__flying_in_near_over_uas,29,21,58,42
ac1__airspace,30,20,60,40
environment__flight_conditions,32,18,64,36
ac2__make_model_name,32,18,64,36
person1__experience,33,17,66,34
ac1__flight_plan,35,15,70,30
place__locale_reference,45,5,90,10
time__local_time_of_day,46,4,92,8
place__state_reference,46,4,92,8
person1__qualification,46,4,92,8
ac1__operating_under_far_part,47,3,94,6
person1__location_of_person,47,3,94,6
events__detector,47,3,94,6
ac1__mission,48,2,96,4
ac1__flight_phase,48,2,96,4
ac1__aircraft_operator,49,1,98,2
ac1__crew_size,49,1,98,2
person1__reporter_organization,49,1,98,2
events__when_detected,49,1,98,2
acn,50,0,100,0
time__date,50,0,100,0
ac1__make_model_name,50,0,100,0
person1__function,50,0,100,0
person1__asrs_report_number_accession_number,50,0,100,0
events__anomaly,50,0,100,0
events__result,50,0,100,0
assessments__contributing_factors_situations,50,0,100,0
assessments__primary_problem,50,0,100,0
report1__narrative,50,0,100,0
report1__synopsis,50,0,100,0
