context_var,context_level,n_total,n_group,x_nmac,p_hat,ci_low,ci_high,plot_included
phase_simple,Arrival,50,23,14,0.6086956521739131,0.4078552239138172,0.7784237720752205,TRUE
phase_simple,Departure,50,9,2,0.2222222222222222,0.06322510711784675,0.547411030893011,TRUE
phase_simple,Enroute,50,13,6,0.46153846153846156,0.2320606780953832,0.70856204285494,TRUE
phase_simple,Surface,50,2,0,0,0,0.6576197724933468,FALSE
phase_simple,Unknown,50,3,1,0.3333333333333333,0.06149194472039624,0.7923403991979522,FALSE
events__detector,Automation Air Traffic Control,50,1,0,0,0,0.7934506856227624,FALSE
events__detector,Person Air Traffic Control,50,2,0,0,0,0.6576197724933468,FALSE
events__detector,Person Flight Crew,50,29,22,0.7586206896551724,0.5789239838218867,0.8778157755747991,TRUE
events__detector,Person UAS Crew,50,15,1,0.06666666666666667,0.011866895493268562,0.2981652987378001,TRUE
events__detector,Unknown,50,3,0,0,-4.8683609171202253e-17,0.5614970317550453,FALSE
time_block,0001-0600,50,3,1,0.3333333333333333,0.06149194472039624,0.7923403991979522,FALSE
time_block,0601-1200,50,14,5,0.35714285714285715,0.16344731753554143,0.612355768960926,TRUE
time_block,1201-1800,50,21,9,0.42857142857142855,0.24469968925375954,0.6345344563069328,TRUE
time_block,1801-2400,50,8,5,0.625,0.30574239460262737,0.8631557141764026,TRUE
time_block,Unknown,50,4,3,0.75,0.30064184258240195,0.9544127391902993,FALSE
